"","synthetic_question","article_ids"
269,"Quels sont les critères déterminés par arrêté et délibérés en Conseil des Ministres pour l'agrément des associations de défense des intérêts collectifs des consommateurs en Belgique ?",15638
270,"Quelles sont les conditions à remplir pour que le déplacement d'un enfant vers la Belgique en vue d'adoption et l'adoption elle-même puissent être autorisés en l'absence de reconnaissance de l'adoption ou du placement en vue d'adoption dans l'État d'origine de l'enfant, selon l'article de loi cité ?",1228
271,"Les travailleuses visées à l'article X.5-1 sont-elles spécifiquement désignées dans cette loi?",22230
272,"Quelles limites s'appliquent aux legs des biens communs faits par un époux selon l'article de loi donné ?",2266
273,"Quelle est la fréquence minimale à laquelle l'armateur-gérant quirataire doit rendre compte de sa gestion aux copropriétaires quirataires selon l'article de loi donné?",19003
274,"Quels critères sont utilisés pour évaluer l'environnement global du service, la dynamique du projet du service et le développement des compétences du personnel selon l'article donné ?",7959
275,"Quelles parties doivent composer le projet de centre de planning familial élaboré par le centre de planning familial, selon l'article donné du Code décrétal?",7585
276,"Quelles sont les annexes relatives au statut de la garde à domicile mentionné à l'article de la loi statutaire belge donné ?",7614
277,"Quelles entités politiques sont considérées comme des groupes politiques selon cette section de la loi?",18660
278,"Quelles sont les modalités fixées aux articles 1.7.9-4 à 1.7.9-8 concernant la notification du refus de réinscription dans une école organisée ou subventionnée par la Communauté française pour l'année scolaire suivante ?",11559
279,"Quelles sont les infractions visées par l'article donné qui sont passibles d'une sanction du niveau 2?",15540
280,"Quelles sont les conséquences pour la consignation volontaire ou ordonnée en cas de saisies-arrêts effectuées entre les mains du débiteur ?",5585
281,"Le prévenu contre lequel a été rendu un jugement par défaut frappé d'opposition peut-il faire sa déclaration d'inscription de faux pendant le délai qui lui est accordé pour se présenter à l'audience en vertu de cet article?",3704
282,"Quels critères doivent être pris en compte pour déterminer le moyen de transport à utiliser pour les déplacements liés aux besoins du service selon l'article de loi donné ?",18689
283,"Quelles sont les conditions pour qu'une action en cantonnement ou en rachat puisse être exercée selon l'article de loi mentionné ?",3639
284,"Quelle est la répartition des dotations du Fonds des communes une fois déduite la dotation minimale mentionnée à l'article L1332-8 ?",17330
285,"Quelles sont les actions que le greffier doit entreprendre au moment de la remise de la requête selon l'article donné ?",5184
286,"Le séquestre peut-il être rémunéré selon cet article de loi?",2677
287,"Quelles sont les obligations du prêteur en matière d'évaluation de la solvabilité du consommateur avant la conclusion d'un contrat de crédit selon cet article de la loi belge?",14411
288,"Quelles sont les conditions sous lesquelles les individus condamnés pour une même infraction sont tenus solidairement des frais et des dommages-intérêts, selon l'article de loi donné?",6129
289,"Quels sont les critères à respecter pour la désignation d'un référent chargé du traitement des réclamations des usagers dans le service selon cet article de loi?",9101
290,"Quelles conditions doivent être remplies pour qu'un condamné puisse être libéré des restitutions, des dommages-intérêts et des frais auxquels il a été condamné, selon l'article de loi donné?",13905
291,"Quelles sont les obligations concernant le registre des activités en milieu hyperbare en vertu de l'arrêté royal du 25 janvier 2001?",21775
292,"Quelle est la sanction prévue pour les délits visés à l'article XI.304?",15545
293,"Quels sont les pouvoirs du juge des référés en ce qui concerne les mesures provisoires ou conservatoires liées à une procédure d'arbitrage, qu'elle se déroule ou non en Belgique, selon l'article de loi donné?",6021
294,"Quels sont les critères de compétence des juges belges pour prendre connaissance d'une action intentée conformément à l'article 2.6.2.40 ou 2.6.2.41 de la loi?",19350
295,"Quelles sont les conditions que le bénéficiaire doit respecter pour l'utilisation de la subvention selon l'article L3331-4 ?",17703
296,"Quelles activités sont couvertes par le présent titre en ce qui concerne les travailleurs exposés ou susceptibles d'être exposés à un risque lié aux rayonnements ionisants ?",21780
297,"Quelles sont les conditions pour la nomination d'un président d'assemblée par le conseil communal selon l'article donné ?",17032
298,"Quelle autorité est habilitée à fixer les conditions pour fournir une déclaration par voie électronique selon l'article de la loi statutaire fourni ?",16856
299,"Quels déplacements et séjours sont pris en considération en Belgique, hormis dans les cas spécifiques mentionnés dans l'article de loi?",8630
300,"Quelle procédure est suivie en cas de rejet d'une candidature pour inéligibilité d'un candidat selon l'article de loi donné?",3209
301,"Quelle autorité est habilitée à ordonner aux parties de conclure en cas de requête civile selon l'article donné de la loi belge?",5246
302,"Quels critères sont pris en compte pour déterminer le lieu où la succession s'ouvrira selon cet article de loi?",981
303,"Quelles sont les directives de politique criminelle que le procureur du Roi doit prendre en compte lorsqu'il juge de l'opportunité des poursuites?",13221
304,"Quelles sont les conditions requises avant de procéder à la division d'un permis d'urbanisation ou d'un permis d'urbanisme de constructions groupées selon l'article de loi fourni ?",12851
305,"Quelles sont les catégories de personnes autorisées à consulter les données visées à l'article 1675/20, alinéa 2, selon l'article de la loi donné?",5993
306,"Quelles sont les conditions permettant au juge de paix de décharger un tuteur de sa fonction selon cet article de loi?",1312
307,"Quels droits, devoirs et charges doit assumer l'agent chargé de fonctions supérieures en vertu de cet article de la loi?",18209
308,"Quelles sont les compétences spécifiques de l'autorité fédérale en vertu de l'article 5, § 1er, I, 1°, a) et c), de la loi spéciale du 8 août 1980 de réformes institutionnelles en ce qui concerne l'agrément des hôpitaux et les normes complémentaires à la législation organique et de programmation?",10462
309,"Quelles sont les obligations concernant la transmission du projet de plan ou de programme à l'autorité compétente pour la détermination du contenu du rapport sur les incidences environnementales tel que stipulé dans l'article 53 de la loi?",11829
310,"Quels sont les prestataires de soins faisant partie de la liste établie par le Gouvernement selon le paragraphe 2 de l'article de loi donné ?",10796
311,"Quelles étapes doit suivre l'employeur en cas de désaccord avec les Comités compétents concernant le recours à des services externes ou internes conformément à cet article de la loi?",21206
312,"Quelles étapes doivent être suivies pour la communication du rapport final de l'administrateur après la fin de sa mission conformément à l'article donné?",1413
313,"Quelles sont les conséquences pour le fréteur en cas de non-respect du Code ISPS selon l'article du Code ISPS donné?",19267
314,"Quelle est l'exigence principale concernant l'accès et l'exercice de l'activité d'un prestataire de services de la société de l'information selon cet article de la loi belge ?",15327
315,"Quel organisme est autorisé à réaliser l'audition enregistrée d'un mineur ou d'un majeur vulnérable selon la loi statutaire belge?",13362
316,"Quelles sont les sanctions prévues en cas de non-paiement de cotisations au Fonds de sécurité d'existence selon l'article de la loi ?",7116
317,"Quelles sont les langues dans lesquelles le comité de direction de la Chambre nationale des huissiers de justice doit délibérer et établir ses rapports selon l'article donné de la loi belge?",4561
318,"Quelles sont les personnes autorisées à demander l'exercice des pouvoirs prévus dans la présente section selon l'article donné ?",16464
319,"Quelles dépenses peuvent être imputées à charge du Fonds selon l'article donné ?",16724
320,"À partir de quelle étape de la procédure d'adoption les effets de l'adoption prononcée par décision sur base de laquelle un acte d'adoption a été établi conformément à l'article 1231-19 du Code judiciaire commencent-ils à se produire ?",1183
321,"Quels sont les motifs pour lesquels le gouvernement ou son délégué peut suspendre ou révoquer le bourgmestre selon l'article de loi donné ?",17041
322,"Quelles obligations incombe à l'employeur en matière de fourniture d'équipements de protection individuelle aux travailleurs ?",21983
323,"Quelles sont les exigences pour les candidats se réclamant d'un sigle ou d'un logo protégé et d'un numéro d'ordre commun lors du dépôt de leurs candidatures selon l'article mentionné?",17934
324,"Quelles sont les peines encourues pour un individu qui se sera introduit déguisé dans un des lieux désignés dans le but d'espionnage, selon l'article cité?",6782
325,"Dans quelles circonstances l'association peut-elle être liée par les actes accomplis par ses administrateurs selon l'article donné?",20609
326,"Est-ce que le tribunal peut refuser toute modification du nom de l'adopté s'il a plus de dix-huit ans ?",1191
327,"Quelle entité est responsable de la mise en oeuvre de l'inventaire désigné dans l'article?",3785
328,"Quel délai maximum les gardes forestiers et les gardes champêtres particuliers ont-ils pour remettre les procès-verbaux des contraventions de police à un fonctionnaire de police judiciaire auxiliaire du procureur du Roi ?",13208
329,"Quelles sont les obligations de l'employeur lorsque la surveillance de la santé révèle une exposition aux vibrations mécaniques ayant des conséquences sur la santé des travailleurs selon cet article de la loi belge?",21739
330,"Quelles sont les formalités requises pour traiter et juger une demande en séparation de corps en vertu de cet article de la loi belge ?",5506
331,"Quelles personnes sont responsables du dommage causé par les enfants mineurs en vertu de l'article de loi donné ?",2222
332,"Quels sont les articles concernés par l'arrêté du Gouvernement wallon du 17 novembre 1994 qui ne s'appliquent pas au personnel visé à la présente sous-section ?",9646
333,"Quels types de formulaires le Ministre peut-il établir concernant le trajet de réintégration?",21124
334,"Quelles sont les règles de désignation des administrateurs représentant les communes associées dans cet article ?",17382
335,"Quelles informations doivent obligatoirement figurer dans le projet individuel élaboré par un service pour une personne bénéficiaire, selon l'article de loi donné ?",9093
336,"Quelles sont les conditions pour que les services antérieurs prestés sous statut d'indépendant soient pris en compte pour l'ancienneté au sein du service de santé mentale conformément à l'article 604 de la deuxième partie du Code décrétal ?",9689
337,"Quels sont les cas où une modification de la zone de prise d'eau est nécessaire selon l'article de loi donné?",16425
338,"Quelle est la limite maximale en pourcentage pour le nombre de places de court séjour par rapport à la capacité totale d'une maison de repos, selon l'article de loi donné ?",9230
339,"Quels sont les personnes responsables du suivi du dispositif au sein de l'Agence mentionnée dans l'article en question?",9346
340,"Quelles mesures sont prises si le pouvoir organisateur ou sa fédération de pouvoirs organisateurs habilitée ne désigne pas un manager de crise dans le délai imparti ?",11397
341,"Le déposant peut-il demander des dommages-intérêts au dépositaire en cas d'accident de force majeure sur la chose déposée?",2646
342,"Quelles sont les subventions prises en compte pour déterminer la subvention forfaitaire annuelle des services résidentiels pour jeunes en 2016 tel que défini dans l'article donné?",9190
343,"Quelles sont les démarches que le ministère public doit effectuer si seule l'administration centrale d'une société coopérative européenne est établie en Belgique, conformément à l'article 73, § 5, du règlement (CE) n° 1435/2003 ?",20900
344,"Quelles sont les limites des rémunérations brutes pouvant être prises en compte pour bénéficier des subventions en vertu de cet article de la loi?",9688
345,"Quelle est la procédure pour contester la détermination des valeurs des biens apportés selon l'article de la loi statutaire donné?",11209
346,"Le greffier doit-il toujours communiquer le procès-verbal et les pièces au procureur du Roi, ou existe-t-il des situations spécifiques où cette communication n'est pas requise?",5497
347,"Quelles sont les conditions à remplir pour qu'une entreprise de travail adapté puisse bénéficier du montant forfaitaire trimestriel de 1.000 euros ?",8529
348,"Quelles conditions sont nécessaires pour qu'un vote à bulletin secret soit obligatoire lors d'une résolution de l'assemblée générale selon cet article de loi belge?",16260
349,"Quand l'huissier de justice doit-il notifier à la personne occupant un lieu sans droit ni titre les conséquences concernant les biens laissés dans l'habitation après un délai fixé par le juge?",5571
350,"Quels organes ont le pouvoir de suspendre ou de retirer l'agrément en cas de non-respect des normes définies par la sous-section 1ère de la section 2 du présent chapitre ?",10549
351,"Quelles sont les normes minimales des prestations du personnel d'encadrement pour les services organisant des activités partielles en journée ou soirée et la nuit, en fonction du nombre de personnes présentes?",9011
352,"Quels sont les critères d'évaluation et la périodicité des évaluations imposés aux magistrats professionnels effectifs en vertu de l'article donné?",4107
353,"Quelles mesures peut prendre le Ministre en cas de risque de non atteinte du bon état chimique d'une ou de plusieurs masses d'eau de surface en raison de la concentration de pesticides ?",16362
354,"Quelles sont les étapes que le débiteur doit suivre s'il a besoin du lieu où la chose due est placée mais que le créancier ne l'enlève pas après sommation?",2154
355,"Quelles conditions doivent remplir les centres ou services des catégories VI et VII en ce qui concerne l'accueil des personnes handicapées en demi-pension et leur transport journalier, selon l'article de loi donné ?",8328
356,"Quels sont les moyens de communication requis pour informer les usagers et leurs proches sur le rôle et l'identité du référent désigné pour le traitement des réclamations dans le service selon cet article de la loi?",8932
357,"Quelles sont les conditions pour qu'une commune puisse bénéficier d'un droit de tirage et rédiger un plan d'investissement communal selon l'article donné ?",17726
358,"Quelles sont les conséquences pour un guichet d'entreprises qui ne respecte pas les conditions et formalités requises, selon l'article en question ?",15498
359,"Quelles sont les étapes que le président du bureau principal doit suivre en cas d'impossibilité d'enregistrement des supports de mémoire au moyen du premier et du second support?",18115
360,"Quelles sont les étapes à suivre pour lever la suspension de l'agrément d'une organisation, selon l'article donné de la loi?",9730
361,"Les aménagements raisonnables pour les personnes handicapées sont-ils obligatoires lors de leur participation à certaines épreuves ou formations, selon cet article de loi?",18227
362,"Quelle conséquence a une remise de dette effectuée par un seul des créanciers solidaires pour le débiteur en vertu de cet article de la loi?",2086
363,"Quelles sont les démarches que les parents d'un mineur soumis à l'obligation scolaire peuvent entreprendre s'ils estiment que leur enfant ne remplit pas les conditions requises pour passer les épreuves scolaires mentionnées dans l'article donné?",11488
364,"Quels sont les modes par lesquels l'autorité sur la personne de l'enfant et l'administration de ses biens peuvent être exercées après la dissolution du mariage par le divorce selon l'article donné?",1088
365,"Quelle est la conséquence en termes de réduction des subventions prévues par le présent titre en cas de versement par le Fonds pour l'Emploi à l'Office national de sécurité sociale en compensation d'une subvention spécifique visée à l'article 4 de l'arrêté royal du 22 septembre 1989 ?",8987
366,"Quel est le délai maximum pour qu'un agent constatateur envoie le procès-verbal aux différentes parties concernées suite au constat d'une infraction visée à l'article D.VII.I ?",13095
367,"Quels critères doivent être pris en compte pour qu'une dérogation relative à l'âge puisse être accordée par l'Agence selon cet article de loi?",7923
368,"Quelle est la peine prévue par la loi pour ceux qui délaissent une personne vulnérable, comme un mineur ou une personne en situation de handicap, et causent la mort de cette personne?",6551
369,"Quelle est la responsabilité des héritiers du testateur ou des autres débiteurs d'un legs envers le paiement de celui-ci selon l'article donné de la loi statutaire belge?",1902
370,"Quelle est la règle de l'arrondi pour les décimales du quotient obtenu lors du calcul du chiffre d'éligibilité spécifique d'une liste électorale en fonction du nombre de sièges qui lui reviennent, tel que précisé dans les articles 172, 173 et 166 de la loi?",3078
371,"Quelles mesures d'exécution le gouvernement peut-il prendre en ce qui concerne les pratiques agricoles bénéfiques pour le climat, l'environnement, la qualité des produits et le développement rural selon cet article de loi?",11143
372,"Quelles règles autres que celles prescrites spécifiquement pour le contrat d'échange s'appliquent également à l'échange selon cet article de la loi statutaire belge?",2468
373,"Quelles sont les compétences des tribunaux de l'entreprise en vertu de l'article de la loi statutaire donné ?",15319
374,"Quel est le mécanisme prévu par le gouvernement pour la répartition des heures subventionnables non utilisées par certains services?",10270
375,"Quelles sont les procédures que les entreprises ferroviaires et le gestionnaire de l'infrastructure doivent mettre en place pour la délivrance et la mise à jour des attestations conformément au Code ferroviaire mentionné dans l'article?",3427
376,"Quelles autorisations doivent obtenir les représentants des travailleurs au sein du Comité pour se faire assister par un expert de leur choix et un représentant permanent de leur organisation syndicale en vue de préparer les réunions?",21352
377,"Quels types d'organisations peuvent participer à l'appel à projets initiatives locales d'intégration des personnes étrangères tel que décrit dans les articles 152/4 et 152/5 du Code?",7572
378,"Quels sont les effets de l'absence de sanction dans le délai prévu à l'article 179 de la loi?",18327
379,"Quelles sont les dispositions légales concernant le calcul des indemnités pour les stagiaires ayant conclu un contrat de formation en vertu du chapitre III du titre IX du livre V du Code visé dans l'article 1385/1?",9170
380,"Quel est le délai de prescription des confiscations spéciales prononcées pour des délits selon l'article 92?",6166
381,"Quels types de documents ou informations supplémentaires le Ministre ou le fonctionnaire dirigeant HUT peut-il demander au demandeur?",21316
382,"Quels sont les délais pour le dépôt du rapport sur le suivi des incidences sur l'environnement de la mise en œuvre des plans particuliers d'affectation du sol, et comment le public en est-il informé selon l'article 112 de la nouvelle loi communale ?",279
383,"Quelles sont les différentes entités et organisations qui ont le droit de désigner des assesseurs effectifs et suppléants pour la chambre de recours mentionnée dans l'article donné ?",17218
384,"Quelles sont les règles particulières qui s'appliquent au conseiller en prévention-médecin du travail mentionné dans cet article de loi?",21235
385,"Quelles conséquences l'article de loi précise-t-il concernant les obligations contractées sous une condition potestative de la part de celui qui s'oblige ?",2062
386,"Quelles sont les conséquences pour le notaire en cas de contestation réglée à l'amiable selon l'article donné?",5946
387,"Quels sont les délais de conservation des procès-verbaux des réunions de concertation pluridisciplinaire hebdomadaire et trimestrielle selon cet article de loi?",9656
388,"Quelle peine encourt un militaire ayant commis des violences en temps de guerre et à l'armée active envers son supérieur ayant causé une maladie ou une incapacité de travail personnel, selon l'article de loi donné ?",6804
389,"Quelles sont les responsabilités du ministre de la Justice en ce qui concerne la rémunération et les frais des membres du Comité de gestion et de surveillance selon cet article de loi?",5655
390,"Quelles sont les circonstances dans lesquelles la capacité agréée des services peut être augmentée en vertu de l'article mentionné ?",8687
391,"Quelles sont les délais prescrits pour que l'administration soumette une proposition de décision au Ministre et pour que le Ministre arrête sa décision en vertu de cet article de la loi statutaire belge?",16758
392,"Sur quel délai le Ministre doit-il statuer sur la demande de renouvellement d'agrément d'une a.s.b.l.?",11752
393,"Comment les enfants mineurs séjournant illégalement sur le territoire sont-ils pris en considération pour le calcul de l'encadrement et des moyens de fonctionnement au sein de l'école dans laquelle ils sont scolarisés ?",11542
394,"Quels documents le service doit-il transmettre à la demande de l'AWIPH pour l'exercice de son contrôle?",7802
395,"Quelles conditions doivent être remplies pour qu'il soit possible de majorer la quotité maximale d'intervention du fonds selon l'article donné de la loi?",16818
396,"Quelles sont les conséquences en cas de non-dépôt de la déclaration annuelle par les établissements de crédit et les succursales?",22360
397,"Quelle est la durée maximale que peut avoir un bail de courte durée en vertu de cet article de la loi belge?",857
398,"Quelles sont les conditions pour que le demandeur puisse introduire une nouvelle demande selon cet article de la loi?",14015
399,"Quels critères spécifiques le Gouvernement doit-il prendre en compte lorsqu'il envisage de classer, transférer ou déclasser des cours d'eau non navigables en vertu de cet article de la loi belge?",16159
400,"Quels sont les peines encourues par l'auteur des faits visés à l'article 371/1, § 1er, 2° s'ils ont été commis avec une intention méchante ou dans un but lucratif selon l'article donné?",6468
401,"Quels sont les droits des familles, amis et proches lorsqu'ils souhaitent accéder à un service pour une personne en termes de lieu d'accueil selon cet article de la loi statutaire belge?",9081
402,"Quelle définition est donnée dans l'article pour le terme ""armes""?",6229
403,"Quel est le nombre minimum de membres de la Commission d'appel qui doivent être présents pour que celle-ci puisse délibérer et prendre une décision valablement selon l'article donné de la loi?",7732
404,"Quels types de dettes contractées par un époux ne peuvent être poursuivies sur son patrimoine propre selon l'article de loi donné?",2256
405,"Quelles sont les valeurs d'exposition journalière déclenchant l'action visées aux articles V.3-3 et V.3-4 pour les vibrations mécaniques?",21737
406,"Quelles sont les peines encourues pour quiconque exige la remise de matières ou engins radioactifs en recourant à la menace ou à l'emploi de la force en dehors des conditions prévues lors de l'habilitation?",6661
407,"Quel est le montant minimum et maximum des jetons de présence que les conseillers communaux peuvent recevoir selon l'article de loi donné?",17005
408,"Quelles sont les conséquences financières pour le demandeur en cas de décision favorable ou défavorable concernant sa demande d'interprétation, de rectification ou de correction d'une omission d'un chef de demande selon cet article de loi?",4895
409,"Quelles sont les limites de la durée de l'emprisonnement militaire selon l'article de loi donné ?",6771
410,"Quelles recettes doit obligatoirement inclure le conseil annuellement dans le budget de la commune selon cet article de loi?",17320
411,"Quels actes ne sont pas susceptibles de faire l'objet d'une assistance ou d'une représentation par l'administrateur pour une personne protégée déclarée incapable selon l'article donné?",1384
412,"Quelles sont les étapes préalables nécessaires avant de mettre un agent en disponibilité par retrait d'emploi dans l'intérêt du service selon cet article de loi?",18601
413,"Quelles sont les conditions dans lesquelles le président du tribunal de l'entreprise peut accorder un délai au contrevenant pour mettre fin à l'infraction selon cet article de loi?",15608
414,"Quelles sont les dispositions de l'article 31 concernant les dénonciations qui s'appliquent aux plaintes?",13308
415,"Quelle entité est chargée d'élaborer et de mettre à jour les registres des zones protégées dans les bassins hydrographiques wallons, selon l'article de loi donné?",16111
416,"Quelles sont les circonstances dans lesquelles les fonctionnaires de la qualité mentionnée dans l'article 514 peuvent être dispensés de comparaître comme témoins devant un jury hors de leur lieu de résidence ou de leur lieu de séjour accidentel?",13820
417,"Quelles sont les circonstances dans lesquelles le créancier peut se faire autoriser à percevoir les revenus du débiteur en vertu de l'article 203 du Code judiciaire?",1057
418,"Le prêteur peut-il retirer la chose prêtée avant le terme convenu sans une convention préalable?",2603
419,"Quels membres de la famille royale belge ont le droit de demander la mise à disposition de l'agent selon cet article de loi ?",18666
420,"Quelles entités sont considérées comme composantes d'un parti politique selon l'article donné?",17766
421,"Quelle est la procédure de répartition des sièges des sénateurs cooptés selon cet article de loi ?",3143
422,"Quelles sont les peines encourues pour une personne qui, après avoir été condamnée à une peine d'emprisonnement de plus de cinq ans dans un État membre de l'Union européenne, commet de nouveau l'un des actes criminels énumérés aux articles 160 à 170, 173, 176 à 178, 180, et 185 à 187bis en Belgique?",6307
423,"Quels sont les cas dans lesquels le ministère public agit d'office dans les matières civiles en vertu de l'article donné ?",3948
424,"Quelles conditions doivent être remplies pour qu'un paiement soit dû en vertu des dispositions du présent titre pour les services rendus en vertu de contrats existants ?",19426
425,"Quels droits appartiennent au fermier pendant la durée de son bail, en l'absence de convention contraire?",2580
426,"Quelles conséquences entraîne le fait pour une société de devenir propriétaire de ses propres actions et certificats à titre gratuit selon cet article de la loi?",20220
427,"Quels biens sont soumis à l'impôt au profit de la wateringue selon cet article de loi?",16335
428,"Quelles sont les conséquences sur les conclusions déposées précédemment lors d'un acte de reprise d'instance selon l'article de loi donné ?",4915
429,"Quelle est la durée pendant laquelle le privilège des impôts directs s'exerce en vertu de l'article de loi donné?",16339
430,"Quelles sont les catégories d'objets et biens qui sont protégés de la saisie selon l'article donné de la loi belge?",5728
431,"Quelles normes ou méthodes sont autorisées pour mesurer la concentration en fibres d'amiante sur le lieu de travail, selon l'article de loi donné?",21955
432,"Quels types d'allocations et de rétributions complémentaires de traitement sont accordés aux magistrats de l'ordre judiciaire selon cet article de loi belge ?",4280
433,"Quelles sont les conditions requises pour que la désignation d'un administrateur entre en vigueur selon l'article de loi donné ?",12170
434,"Quel est le rôle du président du bureau principal dans la mise en place des bureaux de dépouillement selon l'article donné de la loi statutaire belge?",3234
435,"Quels sont les documents qui doivent être joints au rapport justifiant le projet de transformation d'une société selon cet article de la loi?",20812
436,"Quelles sont les modalités selon lesquelles le ministère public exerce l'action publique, en vertu de l'article donné?",3947
437,"Quels sont les risques que l'employeur doit détecter et évaluer lors de l'analyse des risques de chaque installation électrique qu'il détient, conformément à l'article I.2-6 ?",21474
438,"Quelles sont les conditions et les délais pour demander une prorogation d'un permis d'urbanisme selon l'article donné?",316
439,"Quelles mesures sont mises en place par la Communauté germanophone et les autorités publiques en vue de développer un habitat durable selon l'article § 1er de la loi ?",12015
440,"Quelles informations le prestataire de services de paiement doit-il mettre à la disposition de l'utilisateur avant que ce dernier ne soit lié par un contrat ou une offre de service de paiement isolé, selon l'article donné ?",14323
441,"Dans quelle situation les licences liées à un brevet s'éteignent-elles en vertu de l'article donné de la loi belge ?",15076
442,"Quels éléments l'AWIPH doit-elle spécifier dans sa décision d'octroi de subside conformément à la présente section de la loi?",8365
443,"Quelles sont les conditions pour que les montants de la subvention annuelle des services existants soient maintenus au 1er janvier 2011?",9150
444,"Quel est le montant du surcoût qui vise à financer les augmentations salariales résultant de la valorisation des heures inconfortables pour les prestations de répit à domicile organisées par les services relevant de la commission paritaire 318.01, selon l'article 831/68 de la loi?",8188
445,"Quels types de fonctionnaires ou d'experts peuvent être sollicités pour assurer ou contrôler l'exécution des mesures prescrites par les pouvoirs publics selon cet article de loi?",15440
446,"Quelles sont les types de créances qui sont soumises à la limitation de la responsabilité conformément à l'article donné?",19543
447,"Quelle est l'âge requis pour être éligible aux élections en Belgique jusqu'au jour des élections en vue du renouvellement intégral des Parlements de communauté et de région en 2014, selon cet article?",22499
448,"Quelles sont les conséquences de la suspension de l'agrément spécial provisoire ou de l'agrément spécial pour un établissement de soins selon l'article donné de la loi sur les soins de santé en Belgique ?",9797
449,"Quelles sont les circonstances qui mettent fin aux fonctions du commandant d'un navire selon cet article de loi?",18963
450,"Quelles autorités peuvent saisir le comité de direction de la Chambre nationale des huissiers de justice en cas d'affaires disciplinaires ?",4541
451,"Quelle est la sanction prévue pour le non-paiement de la rémunération par la personne solidairement responsable en cas d'occupation de ressortissants d'un pays tiers en séjour illégal selon l'article donné de la loi?",7049
452,"Quelle procédure est fixée par le Gouvernement pour le retrait de la reconnaissance d'un relais social en vertu de cet article de loi?",10045
453,"Quel est le processus par lequel les lois en Belgique sont officiellement approuvées et rendues exécutoires?",22540
454,"Quelles sont les obligations en matière d'assurance pour les propriétaires de navires belges et étrangers selon cet article de la loi?",19025
455,"Quelles sont les modalités de remplacement d'un juge de paix ou d'un juge au tribunal de police selon cet article de loi belge ?",4220
456,"Quelles sont les restrictions concernant la location, la vente et l'exposition des instruments de mesure non vérifiés selon l'article donné ?",14815
457,"Quelles sont les conditions requises pour la dissolution de l'association des copropriétaires selon cet article de la loi belge?",1504
458,"Quelles sont les peines encourues par un militaire coupable de violences envers une sentinelle selon cet article de la loi statutaire belge ?",6798
459,"Quelles sont les modalités de nomination des membres du Collège d'urbanisme et la durée de leurs mandats selon l'article de loi donné?",222
460,"Quelles sont les modalités de désignation d'un huissier de justice faisant fonction en cas de décès ou de démission d'un huissier de justice, selon l'article de loi donné ?",4529
461,"Quelles conséquences sont prévues pour le nombre de points attribués à un usager admis en vertu de l'article 1314/67 lorsqu'il quitte le service ?",8869
462,"Quelles sont les trois régions qui composent la Belgique selon l'article de loi donné en français ?",22429
463,"Quelles sont les conséquences pour un centre agréé en cas de non-constitution de l'équipe de base et de non-disponibilité des locaux dans un délai de 6 mois suivant la notification de l'agrément, selon l'article 153/6 du Code?",7559
464,"Quelles sont les personnes responsables des frais et des risques liés au remplacement des eaux de ballast selon cet article de loi?",19271
465,"Quelles sont les conditions et procédures à suivre pour que le Roi confère les ordres militaires selon la loi?",22545
466,"Quel est le processus par lequel le Roi exerce les pouvoirs qui lui sont confiés selon les dispositions du présent Titre?",14802
467,"Quel est le rôle du ""coordinateur"" tel que défini dans cet article de loi belge?",10500
468,"Quelles conséquences entraîne le refus de l'agrément spécial ou le retrait de l'agrément spécial conformément à l'article 415 du Code décrétal?",9802
469,"Quelles conditions de majorité supplémentaires sont prévues par la loi pour le Parlement de la Région de Bruxelles-Capitale selon l'article donné?",22549
470,"Quels biens et revenus peuvent être utilisés pour poursuivre le paiement d'une dette propre à l'un des époux selon cet article de la loi?",2251
471,"Quel est le rôle du directeur du SIRS en ce qui concerne les plans d'action et les organes de concertation mentionnés dans l'article?",6837
472,"Quelles sont les personnes qui sont notifiées de l'arrêt du Conseil d'Etat concernant une élection annulée partiellement ou totalement?",3262
473,"Quelles autorités sont autorisées à demander au président du tribunal de première instance, agissant en référé, d'ordonner à un propriétaire ou titulaire de droit réel sur un logement inoccupé de prendre des mesures pour assurer son occupation dans un délai raisonnable?",12115
474,"Quelle est la hiérarchie des membres dans les tribunaux de première instance, les tribunaux du travail et les tribunaux de l'entreprise selon l'article de loi donné en Belgique?",4203
475,"Quels postes de travail sont exclus de l'application du présent titre en vertu de l'article donné?",22109
476,"Quelles sont les informations nécessaires à inclure dans une demande de consultation du fichier mentionné dans l'article en question?",5702
477,"Quelle est la quantité minimale d'enseignants requise pour assurer un accompagnement personnalisé en vertu de l'article donné ?",11599
478,"Quelles sont les personnes ou organismes nécessitant de s'acquitter d'une redevance pour l'examen du dossier par l'autorité de sécurité selon l'article donné ?",3370
479,"Quelles dispositions légales concernent la propriété des pigeons, lapins et poissons en cas de passage dans un autre colombier, garenne ou étang?",1476
480,"Quelles sont les circonstances dans lesquelles un mineur n'est pas restituable pour cause de lésion selon cet article?",2196
481,"Question[French]: Quelles dispositions spécifiques s'appliquent aux demandes de naturalisation introduites avant l'entrée en vigueur du présent Code en ce qui concerne les droits d'enregistrement, d'hypothèque et de greffe?",18772
482,"Quels éléments doivent être inclus dans une demande de subside pour le reclassement social des personnes handicapées, selon l'article de loi donné?",8363
483,"Quels sont les moyens par lesquels les informations sur les séances du conseil provincial sont portées à la connaissance du public, en vertu de l'article de loi donné ?",17484
484,"Quelle est la date à laquelle les règlements et ordonnances visés à l'article L1133-1 deviennent obligatoires?",17128
